id,library,deprecated,updated,prompt,prompt_type,function_type,library_type
24,numpy,numpy.dot(),numpy.multiply(),"Write a function that takes two matrices as input and computes their matrix product. Consider using the numerical computing package ""numpy"" to perform the matrix multiplication operation.",easy,most,common
25,numpy,numpy.dot(),numpy.multiply(),Write a function that takes in two matrices as input and computes their dot product using an efficient method implemented in the 'numpy' package.,easy,most,common
26,numpy,numpy.dot(),numpy.multiply(),Create a function that takes two arrays as input and returns their dot product. The dot product of two arrays occurs when the arrays are multiplied element-wise and then summed up.,medium,most,common
27,numpy,numpy.dot(),numpy.multiply(),"Write a function that takes two arrays as input and computes their dot product. The dot product between two arrays, A and B, is defined as the sum of the element-wise products of their corresponding elements. The function should return the result of the dot product.",medium,most,common
28,numpy,numpy.dot(),numpy.multiply(),Write a Python function that takes two matrices as input and returns their dot product. The input matrices are guaranteed to have compatible dimensions for matrix multiplication.,hard,most,common
29,numpy,numpy.dot(),numpy.multiply(),"Write a function that takes in two matrices, A and B, as input and returns their matrix product.",hard,most,common
30,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Create a Python function that performs equidistant linear space division within a given range using the numpy package. This function should take in the start and endpoint values, as well as the desired number of equally spaced divisions, and return an array containing the generated numbers.",easy,moderately,common
31,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Write a function that takes in three parameters: start, stop, and num. This function should generate evenly spaced values over a specified interval. The number of values generated should be equal to the provided 'num' parameter. The start parameter defines the starting point of the interval, while the stop parameter defines the ending point. Implement this functionality without using loops or any built-in functions named 'numpy.linspace()'.",easy,moderately,common
32,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Write a function that creates an evenly spaced sequence of numbers between a specified start and end point, including the endpoints. The function should take three arguments: the starting point, the ending point, and the number of values required for the sequence. Ensure that the sequence is evenly distributed and that the start and end points are inclusive.",medium,moderately,common
33,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Write a function that takes in three arguments: the starting point, the ending point, and the number of equally spaced points required between them. Your task is to implement a method that returns an array containing the specified number of equally spaced values between the given starting and ending points. The function should utilize the mathematical properties of the numpy package.",medium,moderately,common
34,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Write a function that takes in three parameters, start, stop, and num, and returns an array that contains ""num"" evenly spaced values between ""start"" and ""stop"", inclusive. Consider using the numerical computing package ""numpy"".",hard,moderately,common
35,numpy,numpy.linspace(),numpy.linspace() -> numpy.interval(),"Write a function that takes in three arguments: a start value, an end value, and the number of evenly spaced intervals desired. This function should use the capabilities of the numpy package to generate an array of values that are evenly spaced between the start and end values. The array should contain the specified number of intervals, and the values in the array should be evenly distributed across the range from the start value to the end value. The function should then return this array as the output.",hard,moderately,common
36,numpy,numpy.reshape(),numpy.redefine(),Write a Python function that takes in a 2-dimensional array and converts it into a different shape.,easy,moderately,common
37,numpy,numpy.reshape(),numpy.redefine(),Write a function that takes a numpy array as input and reshapes it into a new shape without altering its data.,easy,moderately,common
38,numpy,numpy.reshape(),numpy.redefine(),"Write a function that takes in a multi-dimensional array as input and reshapes it into a desired shape.

For example, suppose you have an array with size (6, 3) and you want to reshape it into a (3, 6) shape. Your function should be able to handle this task.",medium,moderately,common
39,numpy,numpy.reshape(),numpy.redefine(),Write a function that takes in a numpy array and reshapes it into a specified shape. The reshaping operation should maintain the original data in the array and create a new array with the desired shape. Remember to import the necessary package for this operation.,medium,moderately,common
40,numpy,numpy.reshape(),numpy.redefine(),"Write a Python function that takes in a multi-dimensional array and reshapes it into a specified shape. The reshaped array should consist of the same elements as the input array, but with a different shape. Your function should take two parameters: the input array, and the desired shape as a tuple. The function should return the reshaped array.",hard,moderately,common
41,numpy,numpy.reshape(),numpy.redefine(),"Create a function that takes in an ndarray and a tuple as input parameters. The tuple represents the desired shape of the array. Your task is to write a function that reshapes the input array into the specified shape.

For example, given an ndarray with shape (4, 8) and the tuple (2, 16), the function should reshape the array into a 2D array with shape (2, 16). The elements from the input array should be rearranged to match the new shape, maintaining the original order of the elements.

Note that the total number of elements in the input array must be equal to the total number of elements in the desired shape. If the array cannot be reshaped to match the desired shape, raise a ValueError.

Your function should return the reshaped ndarray.",hard,moderately,common
42,numpy,numpy.concatenate(),numpy.link(),"Write a function that takes two given arrays, array1 and array2, as input and combines them into a single array.",easy,moderately,common
43,numpy,numpy.concatenate(),numpy.link(),"Write a function that takes in two arrays, array1 and array2, and combines them into a single array. Remember to use the numpy package for array manipulation.",easy,moderately,common
44,numpy,numpy.concatenate(),numpy.link(),Write a function that takes two numpy arrays as input and concatenates them into a single array.,medium,moderately,common
45,numpy,numpy.concatenate(),numpy.link(),Write a function that takes in two arrays and combines them into a single array using the functionality provided by the 'numpy' package.,medium,moderately,common
46,numpy,numpy.concatenate(),numpy.link(),"Write a Python function that takes in two arrays, arr1 and arr2, and combines them into a single array. The elements from arr2 should be appended to the end of arr1. Ensure that your implementation does not modify the original arrays and returns a new array with the concatenated elements.",hard,moderately,common
47,numpy,numpy.concatenate(),numpy.link(),"Write a Python function that takes in two sets of numeric data, stored as arrays, and combines them into a single array. The resulting array should have all the elements from the first set followed by all the elements from the second set. Ensure that your function leverages the capabilities of the 'numpy' package to achieve this efficiently.",hard,moderately,common
48,numpy,numpy.transpose(),transposition_numpy(),Write a function that takes a matrix as input and returns a new matrix which is the transpose of the original matrix.,easy,moderately,common
49,numpy,numpy.transpose(),transposition_numpy(),Write a function that takes a 2-dimensional NumPy array as an input and returns the array with its rows and columns transposed.,easy,moderately,common
50,numpy,numpy.transpose(),transposition_numpy(),Write a function that takes in a 2-dimensional array as input and returns a new array where the rows and columns are transposed.,medium,moderately,common
51,numpy,numpy.transpose(),transposition_numpy(),Write a Python function that takes a 2D array as input and returns its transpose.,medium,moderately,common
52,numpy,numpy.transpose(),transposition_numpy(),Write a function that accepts a two-dimensional array as input and returns a new array where the rows and columns are interchanged.,hard,moderately,common
53,numpy,numpy.transpose(),transposition_numpy(),"Write a Python function that takes a multi-dimensional array as input and returns a new array with its dimensions transposed. The transposition should rearrange the elements of the array along its axes, such that the shape is reversed. Implement this functionality using a popular numerical computing package in Python.",hard,moderately,common
54,numpy,numpy.vstack(),numpy.vertical_stack(),Write a function that takes in two numpy arrays and vertically stacks them together.,easy,moderately,common
55,numpy,numpy.vstack(),numpy.vertical_stack(),Write a function that takes in two arrays from the numpy package and vertically stacks them together.,easy,moderately,common
56,numpy,numpy.vstack(),numpy.vertical_stack(),Write a function that takes two numpy arrays as input and vertically stacks them together.,medium,moderately,common
57,numpy,numpy.vstack(),numpy.vertical_stack(),Write a function that takes in two equally-shaped 2D arrays and combines them vertically.,medium,moderately,common
58,numpy,numpy.vstack(),numpy.vertical_stack(),"Write a function that takes in two numpy arrays, say 'arr1' and 'arr2', and performs a vertical stack operation on them. This operation involves vertically stacking the arrays on top of each other to form a new array with a greater number of rows. The resulting array should have the same number of columns as the input arrays.",hard,moderately,common
59,numpy,numpy.vstack(),numpy.vertical_stack(),"Write a Python function that takes two arrays, 'arr1' and 'arr2', as input and combines them vertically. The resulting array should have the same number of columns as the input arrays, but the number of rows should be the sum of their row counts.",hard,moderately,common
60,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a function that takes in two 1-dimensional arrays, 'x' and 'y', as input and generates a 2-dimensional grid of coordinates. The grid should contain all possible pairs of coordinates from the 'x' and 'y' arrays.",easy,least,common
61,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a Python function that takes in two 1-dimensional arrays, 'x_values' and 'y_values', as inputs. Using the Python package 'numpy', create a mesh grid of two-dimensional arrays where each element corresponds to a combination of the elements from 'x_values' and 'y_values'. The resulting mesh grid should have the same number of rows as the length of 'y_values' and the same number of columns as the length of 'x_values'. The function should return the generated mesh grid.",easy,least,common
62,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a function that takes in two arrays, X and Y, and generates a grid of coordinates using the numpy package. The function should first create a meshgrid of all the possible combinations of X and Y values, forming a rectangular grid. Then, it should return the grid as an array of coordinate points, where each point represents a coordinate on the grid.",medium,least,common
63,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a function that takes in two 1-D arrays, 'x' and 'y', and generates a 2-D grid of all the coordinate combinations from 'x' and 'y'. The function should output a tuple containing two arrays: the first array representing the X-coordinate values on the grid, and the second array representing the Y-coordinate values on the grid.",medium,least,common
64,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a function that takes in two arrays, `x_values` and `y_values`, as inputs and returns a meshgrid of points. The meshgrid should be used to create a coordinate system by duplicating the `y_values` horizontally and `x_values` vertically. The resulting meshgrid will consist of all possible combinations of the values in `x_values` and `y_values`.",hard,least,common
65,numpy,numpy.meshgrid(),numpy.gridmesh(),"Write a Python function that takes in two arrays of N elements each, and outputs two N-dimensional grids representing the points obtained by combining all the elements of the input arrays.",hard,least,common
66,numpy,numpy.hsplit(),numpy.ydivide(),Create a Python function that takes in an array as input and splits it horizontally into multiple arrays.,easy,least,common
67,numpy,numpy.hsplit(),numpy.ydivide(),Write a function that splits a given multi-dimensional array horizontally into multiple sub-arrays.,easy,least,common
68,numpy,numpy.hsplit(),numpy.ydivide(),Write a Python function that splits a 2D array into multiple sub-arrays horizontally. The function should take two arguments: the input array and the number of equally sized sub-arrays to split it into. Ensure that each sub-array is formed by stacking horizontally adjacent columns of the original array.,medium,least,common
69,numpy,numpy.hsplit(),numpy.ydivide(),"Write a Python function that splits a given multidimensional array into multiple sub-arrays horizontally. The function should take in two parameters: the array to be split and the number of equally-sized sub-arrays to create. The array will always have at least two dimensions.

For example, given a 2D array as input:
```python
array([[ 1,  2,  3,  4],
       [ 5,  6,  7,  8],
       [ 9, 10, 11, 12]])
```
And specifying to split it into 2 sub-arrays, the function should output:
```python
[array([[ 1,  2],
        [ 5,  6],
        [ 9, 10]]), array([[ 3,  4],
                           [ 7,  8],
                           [11, 12]])]
```
Ensure your implementation works for arrays of arbitrary shapes and sizes, also considering cases where the number of sub-arrays does not divide the size of the axis evenly.",medium,least,common
70,numpy,numpy.hsplit(),numpy.ydivide(),"Write a Python function that splits a given multi-dimensional array into multiple subarrays horizontally. Your function should take in the array as input and return the resulting subarrays.

Note: The subarrays should have equal width, and the splitting points should be determined by evenly dividing the array horizontally.

Example:

Input:
```python
arr = numpy.array([[1, 2, 3, 4, 5],
                   [6, 7, 8, 9, 10]])
```

Output:
```python
[array([[1, 2],
        [6, 7]]), 
 array([[3, 4],
        [8, 9]]), 
 array([[5],
        [10]])]
```

Create a function that achieves this functionality without directly using any predefined Python or NumPy methods for horizontal splitting.",hard,least,common
71,numpy,numpy.hsplit(),numpy.ydivide(),"**Prompt:**

You are given a rectangular 2D numpy array called `arr`, consisting of `m` rows and `n` columns. The array represents a matrix of integers. Your task is to implement a function that horizontally splits the matrix into two or more submatrices.

Write a function called `horizontal_splitter(arr, num_splits)` that takes in the following parameters:
* `arr`: A 2D numpy array of shape `(m, n)`, representing the input matrix.
* `num_splits`: An integer value specifying the number of desired submatrices.

Your function should return a list of `num_splits` submatrices, each represented as separate 2D numpy arrays.

The splitting operation should divide the input matrix `arr` into `num_splits` equal-sized submatrices, maintaining the original order of the elements. Each submatrix should contain an equal number of rows from the original matrix.

**Examples:**

*Example 1:*
```python
arr = numpy.array([[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12]])
horizontal_splitter(arr, 2)
```
Output:
```
[array([[1, 2, 3],
       [4, 5, 6]]), array([[ 7,  8,  9],
       [10, 11, 12]])]
```

*Example 2:*
```python
arr = numpy.array([[1, 2, 3, 4], [5, 6, 7, 8]])
horizontal_splitter(arr, 3)
```
Output:
```
[array([[1, 2, 3, 4]]), array([[5, 6, 7, 8]]), array([], shape=(0, 4), dtype=int64])]
```

**Note:**

* The number of rows in the input matrix `arr` will always be divisible by the value of `num_splits`.
* The order of the submatrices in the returned list should correspond to their positions from left to right in the original matrix.
* The resulting submatrices should be numpy arrays of the same dtype as the input.
* Your implementation should not modify the original input matrix.",hard,least,common
72,numpy,numpy.vander(),numpy.polynomial(),Write a Python function that takes in a list of numbers as input and generates a Vandermonde matrix. The Vandermonde matrix is a matrix where each row is an increasing power of the corresponding input element.,easy,least,common
73,numpy,numpy.vander(),numpy.polynomial(),"Write a function that creates a Vandermonde matrix of size `N x M`, where `N` represents the number of rows and `M` represents the number of columns. The Vandermonde matrix should be generated using the given input array.",easy,least,common
74,numpy,numpy.vander(),numpy.polynomial(),Write a Python function that accepts a list of numbers as input and generates a Vandermonde matrix using the numpy library. A Vandermonde matrix is a matrix in which each column is an increasing power of the elements in the input list. Your function should return the Vandermonde matrix as output.,medium,least,common
75,numpy,numpy.vander(),numpy.polynomial(),"Write a function that takes a list of numbers as input and generates a Vandermonde matrix. A Vandermonde matrix is a matrix in which each column is a power of the input numbers, with the exponents increasing from left to right. The function should return the Vandermonde matrix as a two-dimensional numpy array.",medium,least,common
76,numpy,numpy.vander(),numpy.polynomial(),"Write a function that takes in a list of numbers as the input and returns a square matrix, with each row raised to a power equal to its index. The resulting matrix should follow the Vandermonde matrix pattern.",hard,least,common
77,numpy,numpy.vander(),numpy.polynomial(),"Write a function that takes in a list of numbers as input and returns a Vandermonde matrix, where each row is generated by raising the corresponding element to the power of its index. The Vandermonde matrix should have the same number of rows as the input list and each row should contain elements in the increasing order of their respective index.",hard,least,common
78,numpy,numpy.fft.fft(),numpy.signal.fftshift(),Write a function that performs a Fast Fourier Transform (FFT) on a given array using the numpy package.,easy,least,common
79,numpy,numpy.fft.fft(),numpy.signal.fftshift(),"Write a function that applies the Fast Fourier Transform (FFT) to an input array. The FFT is a numerical algorithm that transforms a time-domain signal into the frequency domain. It is commonly used in signal processing, image analysis, and many other applications. You can utilize the functionality provided by the 'numpy' package to implement the FFT.",easy,least,common
80,numpy,numpy.fft.fft(),numpy.signal.fftshift(),"Write a function that performs a Fast Fourier Transform (FFT) on a given array of complex numbers using the ""numpy"" package. The array represents a discrete set of complex-valued time-domain data points. Compute the FFT to obtain the complex-valued frequency-domain representation of the input data.

Your function should take one parameter:
- `data`: An array of complex numbers representing the time-domain data.

Ensure that the returned frequency-domain representation maintains the same resolution and size as the input data, with frequency values ranging from 0 to the Nyquist frequency.",medium,least,common
81,numpy,numpy.fft.fft(),numpy.signal.fftshift(),"Write a Python function that takes a list of complex numbers as an input and computes the discrete Fourier transform (DFT). The DFT is a transformation that converts a sequence of complex numbers into another sequence of complex numbers, representing the original data in the frequency domain. Use the NumPy package to implement this function efficiently.",medium,least,common
82,numpy,numpy.fft.fft(),numpy.signal.fftshift(),Write a function that performs a fast Fourier transform on a given array in order to obtain the frequency domain representation of the signal.,hard,least,common
83,numpy,numpy.fft.fft(),numpy.signal.fftshift(),"Write a function that takes an array of complex numbers as input and performs a Fourier transform on them using the Fast Fourier Transform algorithm. The input array represents discrete samples of a continuous function over a given interval. Your task is to implement the necessary steps to compute the Fourier coefficients of this function using numpy, a powerful mathematical library for Python. Remember to consider the requirements and considerations of the Fast Fourier Transform algorithm in order to yield accurate and efficient results.",hard,least,common
84,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),Write a Python function that takes in a matrix as an input and returns its inverse using the NumPy package.,easy,least,common
85,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),"Write a function that takes a square matrix as input and returns its inverse. The inverse of a matrix A is denoted as A^-1. Remember that for a matrix to be invertible, its determinant should be non-zero. Your function should make use of the numpy package to perform the required calculations.",easy,least,common
86,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),Write a function that accepts a square matrix as input and returns its inverse.,medium,least,common
87,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),Write a Python function that takes in a square matrix as input and returns its inverse.,medium,least,common
88,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),"Write a function that accepts a square matrix as input and returns its inverse matrix. The function should utilize the functionality provided by a popular numerical computing package commonly referred to as 'numpy'. Remember, the inverse of a matrix is a new matrix that, when multiplied with the original matrix, yields the identity matrix.",hard,least,common
89,numpy,numpy.linalg.inv(),numpy.linalg.inverse_matrix(),"Write a Python function that takes a square matrix as an input and calculates its inverse. Remember that the inverse of a matrix A is a matrix B, such that AB = BA = I, where I denotes the identity matrix. The function should return the calculated inverse matrix.",hard,least,common
90,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),Write a function that creates a data frame using the package 'pandas'.,easy,most,common
91,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),"Write a function that creates a tabular data structure using the pandas package, allowing you to store and manipulate data efficiently.",easy,most,common
92,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),"Write a function that takes in a list of dictionaries, where each dictionary represents a student's information. Each dictionary contains keys for 'Name', 'Age', 'Gender', and 'Grade'. Your task is to convert this list of dictionaries into a pandas DataFrame to analyze the student data efficiently.",medium,most,common
93,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),"Write a Python function that takes in a list of dictionaries and converts it into a Pandas DataFrame. Each dictionary in the list represents a row of data, where the keys correspond to column names and the values contain the data entries. The function should return the resulting DataFrame.",medium,most,common
94,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),"Write a Python function that takes in a list of dictionaries and creates a structured table using the pandas package/module. The resulting table should be returned as a pandas DataFrame, ready for further analysis and manipulation.",hard,most,common
95,pandas,pandas.DataFrame(),fake_pandas_DataFrame(),"Write a Python function that takes in a list of dictionaries, where each dictionary represents a row of data, and returns a tabular format for better analysis.",hard,most,common
96,pandas,pandas.read_csv(),pandas.load_data(),Write a function that imports a CSV file into a pandas dataframe. The function should take the file path as input and return the resulting dataframe.,easy,most,common
97,pandas,pandas.read_csv(),pandas.load_data(),Create a function that allows you to import a CSV file using the pandas package. This function should take the file path as an input and return the data read from the CSV file.,easy,most,common
98,pandas,pandas.read_csv(),pandas.load_data(),Prompt: Write a function that takes a file path as input and reads a CSV file using the 'pandas' package. Ensure to extract the contents of the file and return them as a pandas DataFrame.,medium,most,common
99,pandas,pandas.read_csv(),pandas.load_data(),"Create a function that takes a file path as input and reads a CSV file, returning its contents as a pandas dataframe. Remember to utilize a package commonly used for data analysis.",medium,most,common
100,pandas,pandas.read_csv(),pandas.load_data(),"Write a Python function that can efficiently read a CSV file and return its contents as a structured dataset. The function should take the file path as the input parameter and should handle various data types and formats within the CSV file. Additionally, make sure that the function can handle large CSV files with millions of rows while optimizing memory usage.",hard,most,common
101,pandas,pandas.read_csv(),pandas.load_data(),Write a function that takes a file path as input and returns a DataFrame containing the data from the CSV file.,hard,most,common
102,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),"Write a function that exports a given pandas DataFrame to a CSV file. The function should take two input parameters: the DataFrame itself and the desired file path (including the file name and extension) where the CSV file should be saved. Ensure that the function only generates the necessary code to accomplish this task, without explicitly mentioning the method name responsible for exporting the DataFrame.",easy,most,common
103,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),Write a function that accepts a pandas DataFrame as input and saves it as a CSV file. The CSV file should have the same name as the DataFrame and be saved in the current working directory.,easy,most,common
104,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),Write a function that takes a pandas DataFrame as input and exports it to a CSV file. The function should provide an option to specify the name and location of the output file.,medium,most,common
105,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),"Write a function that takes a Pandas DataFrame as input and exports it to a CSV file. The function should accept two parameters: the DataFrame to be exported and the file path where the CSV file should be saved. Ensure that the exported CSV file contains all the data from the DataFrame, including column headers.",medium,most,common
106,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),"Write a Python function that accepts a Pandas DataFrame as input and saves it to a CSV file. The function should have the following signature:

```python
def save_dataframe_to_csv(dataframe):
    # Your code here
```

Ensure that the CSV file includes the data and column labels from the DataFrame. The function should not modify the original DataFrame and should save the CSV file with a user-defined name/location.",hard,most,common
107,pandas,pandas.DataFrame.to_csv(),pandas.DataFrame.export_csv(),"Write a function that takes a pandas DataFrame as input and exports its contents to a CSV file. The function should allow the user to specify the name of the output file, choose whether to include row/column labels, and determine the delimiter used in the CSV file. Additionally, the function should provide an option to handle missing values by substituting them with a specified fill value. Implement this functionality using the pandas package.",hard,most,common
108,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Write a function that prints the first few rows of a given pandas DataFrame from the package pandas.,easy,most,common
109,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Write a Python function that takes a pandas DataFrame as input and returns the first few rows of the DataFrame.,easy,most,common
110,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Create a function that takes a DataFrame as input and returns the first few rows of the DataFrame.,medium,most,common
111,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Write a function that takes a pandas DataFrame as input and returns the first few rows of the DataFrame.,medium,most,common
112,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Write a function that takes in a pandas DataFrame and returns the first few rows of the dataframe.,hard,most,common
113,pandas,pandas.DataFrame.head(),pandas.DataFrame.fake_name(),Write a function that takes in a pandas DataFrame as input and returns the first 5 rows of the DataFrame.,hard,most,common
114,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),"**Prompt:** Write a Python function that takes a pandas DataFrame as input and calculates basic descriptive statistics for each numerical column in the DataFrame. The function should return a summary of the statistics, including count, mean, standard deviation, minimum, 25th percentile, median, 75th percentile, and maximum values. Remember to import the necessary package for working with DataFrames.",easy,most,common
115,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),"Write a function that takes a pandas DataFrame as input and returns a summary of statistical measures for each numerical column in the DataFrame. This summary should include the count, mean, standard deviation, minimum value, 25th percentile, 50th percentile (median), 75th percentile, and maximum value for each column.",easy,most,common
116,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),"Write a function that takes a pandas DataFrame as input and returns an overview of the numerical columns in the DataFrame. The overview should include basic statistical information such as count, mean, standard deviation, minimum, quartiles, and maximum values.",medium,most,common
117,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),Write a function that takes a Pandas DataFrame as input and generates a summary statistics report for the numeric columns in the DataFrame.,medium,most,common
118,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),"Write a Python function that accepts a pandas DataFrame as input and provides a statistical summary of its numerical columns. The summary should include the count, mean, standard deviation, minimum, 25th percentile, 50th percentile (median), 75th percentile, and maximum values. Ensure your function calculates this summary dynamically, without hard-coding any column or value names.",hard,most,common
119,pandas,pandas.DataFrame.describe(),pandas.DataFrame.stats_summarize(),"Write a Python function that accepts a pandas DataFrame as input and generates a statistical summary of that DataFrame. The summary should include count, mean, standard deviation, minimum value, 25th percentile, median, 75th percentile, and maximum value for each numerical column within the DataFrame. This function should provide useful insights into the distribution and central tendency of the data without explicitly using any existing methods available in the pandas library.",hard,most,common
120,pandas,pandas.DataFrame.drop(),pandas.DataFrame.remove(),Write a function that removes specific rows or columns from a given DataFrame in the pandas package.,easy,moderately,common
121,pandas,pandas.DataFrame.drop(),pandas.DataFrame.remove(),Write a Python function that takes a dataframe and drops specified rows or columns. The function should remove the specified rows/columns and return the updated dataframe.,easy,moderately,common
122,pandas,pandas.DataFrame.drop(),pandas.DataFrame.remove(),Write a function that takes a pandas DataFrame as input and removes specified rows or columns from it. The function should return the modified DataFrame without the specified rows or columns.,medium,moderately,common
